,z,xy,focus,file,brenner,range,entropy,sobel,variance,power,nz
113,9313.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009313z_025537x_004145y_093834F.tiff,26546072.0,87863.0,6.198990385624846,-493956904.0,796.6633961522681,2409228745.0,-70.0
114,9313.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009313z_026736x_004145y_093692F.tiff,28930108.0,81874.0,6.4889802867985225,1003071676.0,1324.05756062074,831093823.0,-56.0
115,9313.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009313z_027353x_004145y_093672F.tiff,16367824.0,188757.0,4.743243821750426,2737477656.0,247.93928014297754,22245931.0,-54.0
116,9314.0,"(22735.0, 5314.0)",9399.0,D:\WorkDrive\Images\FL\009314z_022735x_005314y_093987F.tiff,19272984.0,159710.0,5.387705820621083,2496626884.0,709.0389033393915,3054360413.0,-85.0
117,9314.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009314z_025537x_005728y_093729F.tiff,23341144.0,192126.0,4.993768128978365,3184064904.0,828.6040867582943,2287261596.0,-59.0
118,9314.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009314z_025537x_006035y_093706F.tiff,20464850.0,181729.0,5.220114817107737,3361019820.0,1249.6123446799868,2665857218.0,-57.0
119,9315.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009315z_024210x_005955y_093797F.tiff,29154990.0,77508.0,6.5322282017040285,-38993600.0,1454.545254085238,4167033789.0,-65.0
120,9315.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009315z_025537x_004145y_093834F.tiff,26681890.0,91871.0,6.188939056814951,145031604.0,832.4519482682966,2478138709.0,-68.0
121,9315.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009315z_026736x_004145y_093692F.tiff,29052774.0,86036.0,6.462849281386699,2132927436.0,1385.00207863694,738985374.0,-54.0
122,9315.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009315z_027353x_004145y_093672F.tiff,16656918.0,191103.0,4.7215254423311706,2757316108.0,261.90718334342574,19871345.0,-52.0
123,9316.0,"(22735.0, 5314.0)",9399.0,D:\WorkDrive\Images\FL\009316z_022735x_005314y_093987F.tiff,19294842.0,163474.0,5.362042372660001,130353704.0,737.3889537638132,3065777955.0,-83.0
124,9316.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009316z_025537x_005728y_093729F.tiff,23509562.0,195548.0,4.9555865421956895,-397379680.0,864.4157247287129,2259182534.0,-57.0
125,9316.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009316z_025537x_006035y_093706F.tiff,20695050.0,188776.0,5.147139800932086,754979972.0,1345.032915859616,2547184845.0,-55.0
126,9317.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009317z_024210x_005955y_093797F.tiff,29145140.0,82626.0,6.515059149481922,207604616.0,1519.9122824554584,4182061996.0,-63.0
